p_name,p_club,p_nation,p_league,p_rating,p_position,Alternate_Positions,Card_Version,Run_Style,Price,Price_Variation,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height,Popularity,Base_Stats,Ingame_Stats
Pelé,EA FC ICONS,Brazil,Icons,95,CAM,"CF,ST",Icon,Mostly Explosive,5170000.0,3.74%,5,4,H,M,93,94,91,94,58,74,"173cm | 5'8""",228,504,2458
Zinedine Zidane,EA FC ICONS,France,Icons,94,CAM,CM,Icon,Controlled Lengthy,2600000.0,2.44%,5,5,M,M,83,90,94,94,73,84,"185cm | 6'1""",127,518,2499
Ronaldo,EA FC ICONS,Brazil,Icons,94,ST,CF,Icon,Controlled,9500000.0,1.54%,5,5,M,M,94,94,79,94,43,75,"183cm | 6'0""",255,479,2296
Ronaldinho,EA FC ICONS,Brazil,Icons,93,LW,"LM,CAM",Icon,Controlled Explosive,5260000.0,1.12%,5,4,H,L,91,89,90,95,38,80,"180cm | 5'11""",190,483,2311
Johan Cruyff,EA FC ICONS,Holland,Icons,93,CF,ST,Icon,Mostly Explosive,3890000.0,5.12%,5,5,H,L,90,91,90,93,42,73,"180cm | 5'11""",151,479,2315
Lev Yashin,EA FC ICONS,Russia,Icons,92,GK,0,Icon,Controlled Lengthy,475000.0,2.06%,1,3,M,M,93,89,75,94,60,93,"189cm | 6'2""",86,504,1242
Ferenc Puskás,EA FC ICONS,Hungary,Icons,92,CF,ST,Icon,Mostly Explosive,1900000.0,3.31%,4,3,H,M,90,94,89,91,45,74,"172cm | 5'8""",79,483,2353
Mané Garrincha,EA FC ICONS,Brazil,Icons,92,RW,RM,Icon,Explosive,1520000.0,4.47%,5,4,M,L,89,85,92,94,40,66,"169cm | 5'7""",38,466,2259
Paolo Maldini,EA FC ICONS,Italy,Icons,92,CB,LB,Icon,Mostly Lengthy,1710000.0,2.84%,2,4,M,H,85,55,74,69,95,82,"186cm | 6'1""",93,460,2124
Müller,EA FC ICONS,Germany,Icons,92,ST,CF,Icon,Controlled Explosive,995000.0,3.30%,4,4,H,M,87,92,76,85,44,74,"176cm | 5'9""",59,458,2241
Charlton,EA FC ICONS,England,Icons,92,CAM,CF,Icon,Explosive,2500000.0,6.89%,4,5,H,M,90,91,87,91,50,74,0,400,483,2360
Erling Haaland,Manchester City,Norway,Premier League,92,ST,CF,Champions League,Mostly Lengthy,2000000.0,2.04%,4,3,H,M,91,94,67,82,46,90,"195cm | 6'5""",608,470,2233
Erling Haaland,Manchester City,Norway,Premier League,91,ST,CF,normal,Mostly Lengthy,435000.0,9.00%,3,3,H,M,89,93,66,80,45,88,"195cm | 6'5""",1255,461,2191
Kylian Mbappé,Paris SG,France,Ligue 1 Uber Eats,91,ST,"CF,LW",normal,Mostly Explosive,3330000.0,1.93%,5,4,H,L,97,90,80,92,36,78,"182cm | 6'0""",1081,473,2250
Kevin De Bruyne,Manchester City,Belgium,Premier League,91,CM,CAM,normal,Controlled,80000.0,2.44%,4,5,H,M,72,88,94,87,65,78,"181cm | 5'11""",629,484,2349
Robert Lewandowski,FC Barcelona,Poland,LALIGA EA SPORTS,91,ST,CF,IF,Mostly Lengthy,170000.0,7.10%,4,4,H,M,77,92,82,88,45,85,"185cm | 6'1""",520,469,2295
