1,Pelé,EA FC ICONS,Icons,Brazil,95,CAM
2,Zinedine Zidane,EA FC ICONS,Icons,France,94,CAM
3,Ronaldo,EA FC ICONS,Icons,Brazil,94,ST
4,Ronaldinho,EA FC ICONS,Icons,Brazil,93,LW
5,Johan Cruyff,EA FC ICONS,Icons,Holland,93,CF
6,Lev Yashin,EA FC ICONS,Icons,Russia,92,GK
7,Ferenc Puskás,EA FC ICONS,Icons,Hungary,92,CF
8,Mané Garrincha,EA FC ICONS,Icons,Brazil,92,RW
9,Paolo Maldini,EA FC ICONS,Icons,Italy,92,CB
10,Müller,EA FC ICONS,Icons,Germany,92,ST
11,Charlton,EA FC ICONS,Icons,England,92,CAM
12,Erling Haaland,Manchester City,Premier League,Norway,92,ST
13,Erling Haaland,Manchester City,Premier League,Norway,91,ST
14,Kylian Mbappé,Paris SG,Ligue 1 Uber Eats,France,91,ST
15,Kevin De Bruyne,Manchester City,Premier League,Belgium,91,CM
16,Robert Lewandowski,FC Barcelona,LALIGA EA SPORTS,Poland,91,ST
17,Franco Baresi,EA FC ICONS,Icons,Italy,91,CB
18,Thierry Henry,EA FC ICONS,Icons,France,91,ST
19,Carlos Alberto Torres,EA FC ICONS,Icons,Brazil,91,RB
20,Marcos Cafú,EA FC ICONS,Icons,Brazil,91,RWB
21,Marco van Basten,EA FC ICONS,Icons,Holland,91,ST
22,Eusébio,EA FC ICONS,Icons,Portugal,91,CF
23,Antunes Coimbra,EA FC ICONS,Icons,Brazil,91,CAM
24,Roberto Baggio,EA FC ICONS,Icons,Italy,91,CAM
25,Harry Kane,FC Bayern München,Bundesliga,England,91,ST
26,Lionel Messi,Inter Miami CF,MLS,Argentina,90,CF
27,Karim Benzema,Al Ittihad,ROSHN Saudi League,France,90,CF
28,Thibaut Courtois,Real Madrid,LALIGA EA SPORTS,Belgium,90,GK
29,Harry Kane,FC Bayern München,Bundesliga,England,90,ST
30,Robert Lewandowski,FC Barcelona,LALIGA EA SPORTS,Poland,90,ST
31,Mohamed Salah,Liverpool,Premier League,Egypt,90,RW
32,Iker Casillas,EA FC ICONS,Icons,Spain,90,GK
33,Raúl González Blanco,EA FC ICONS,Icons,Spain,90,CF
34,George Best,EA FC ICONS,Icons,Northern Ireland,90,RW
35,Andrea Pirlo,EA FC ICONS,Icons,Italy,90,CM
36,Xavier Hernández,EA FC ICONS,Icons,Spain,90,CM
37,Dennis Bergkamp,EA FC ICONS,Icons,Holland,90,CF
38,Ruud Gullit,EA FC ICONS,Icons,Holland,90,CF
