pm_id,p_id,metric_name,metric_value
1,1,Pace / Diving,93
1,1,Shooting / Handling,94
1,1,Passing / Kicking,91
1,1,Dribbling / Reflexes,94
1,1,Defense / Speed,58
1,1,Physical / Positioning,74
2,2,Pace / Diving,83
2,2,Shooting / Handling,90
2,2,Passing / Kicking,94
2,2,Dribbling / Reflexes,94
2,2,Defense / Speed,73
2,2,Physical / Positioning,84
3,3,Pace / Diving,94
3,3,Shooting / Handling,94
3,3,Passing / Kicking,79
3,3,Dribbling / Reflexes,94
3,3,Defense / Speed,43
3,3,Physical / Positioning,75
4,4,Pace / Diving,91
4,4,Shooting / Handling,89
4,4,Passing / Kicking,90
4,4,Dribbling / Reflexes,95
4,4,Defense / Speed,38
4,4,Physical / Positioning,80
5,5,Pace / Diving,90
5,5,Shooting / Handling,91
5,5,Passing / Kicking,90
5,5,Dribbling / Reflexes,93
5,5,Defense / Speed,42
5,5,Physical / Positioning,73
6,6,Pace / Diving,93
6,6,Shooting / Handling,89
6,6,Passing / Kicking,75
6,6,Dribbling / Reflexes,94
6,6,Defense / Speed,60
6,6,Physical / Positioning,93
7,7,Pace / Diving,90
7,7,Shooting / Handling,94
7,7,Passing / Kicking,89
7,7,Dribbling / Reflexes,91
7,7,Defense / Speed,45
7,7,Physical / Positioning,74
8,8,Pace / Diving,89
8,8,Shooting / Handling,85
8,8,Passing / Kicking,92
8,8,Dribbling / Reflexes,94
8,8,Defense / Speed,40
8,8,Physical / Positioning,66
9,9,Pace / Diving,85
9,9,Shooting / Handling,55
9,9,Passing / Kicking,74
9,9,Dribbling / Reflexes,69
9,9,Defense / Speed,95
9,9,Physical / Positioning,82
10,10,Pace / Diving,87
10,10,Shooting / Handling,92
10,10,Passing / Kicking,76
10,10,Dribbling / Reflexes,85
10,10,Defense / Speed,44
10,10,Physical / Positioning,74
11,11,Pace / Diving,90
11,11,Shooting / Handling,91
11,11,Passing / Kicking,87
11,11,Dribbling / Reflexes,91
11,11,Defense / Speed,50
11,11,Physical / Positioning,74
12,12,Pace / Diving,91
12,12,Shooting / Handling,94
12,12,Passing / Kicking,67
12,12,Dribbling / Reflexes,82
12,12,Defense / Speed,46
12,12,Physical / Positioning,90
13,13,Pace / Diving,89
13,13,Shooting / Handling,93
13,13,Passing / Kicking,66
13,13,Dribbling / Reflexes,80
13,13,Defense / Speed,45
13,13,Physical / Positioning,88
14,14,Pace / Diving,97
14,14,Shooting / Handling,90
14,14,Passing / Kicking,80
14,14,Dribbling / Reflexes,92
14,14,Defense / Speed,36
14,14,Physical / Positioning,78
15,15,Pace / Diving,72
15,15,Shooting / Handling,88
15,15,Passing / Kicking,94
